Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_10204,-1630.399022650065,100,4.96195,555.8991599999983,-153.323039024,-151.344503147,-33.649542616,-4.03488287,III_benzimid,adam,Isobutyl,adam,Butyl,Butyl,3.685796275,3.276026296,3.685796275,1.602489835,1.602489835,0.081837,0.350968,0.079735,
mol_10205,-1630.395899689571,100,4.85486,555.8991599999983,-152.324044696,-150.35743149,-36.313318321,-7.711458101,III_benzimid,adam,Isobutyl,adam,Isobutyl,Isobutyl,3.685796275,3.276026296,3.685796275,3.276026296,3.276026296,0.095459,0.38926,0.094563,
mol_10207,-1630.352219145839,100,4.48158,555.8991599999982,-152.73820063600002,-151.38654625,-35.180037067,-6.574411793,III_benzimid,adam,Isobutyl,adam,t-Butyl,t-Butyl,3.685796275,3.276026296,3.685796275,4.972259776,4.972259776,0.097714,0.402903,0.103049,
mol_1021,-1386.222811906242,68,6.34234,457.6285200000003,-155.211213605,-153.768570414,-27.954898441,-22.840072582,I_imid,phen,Ethyl,phen,DMP,DMP,3.620874142,1.711067804,3.620874142,8.431506296,8.431506296,0.073277,0.248357,0.069473,
mol_10210,-1856.546566338004,102,9.34877,623.9315999999977,-154.518443669,-150.171688826,-36.537339034,-17.031221769,III_benzimid,adam,Isobutyl,adam,tolu,tolu,3.685796275,3.276026296,3.685796275,3.798133026,3.798133026,0.067451,0.304557,0.059111,
mol_10211,-1935.130968866440,108,10.42279,651.9847599999977,-149.473898818,-148.32618485700002,-40.296745453,-17.295403058,III_benzimid,adam,Isobutyl,adam,DMP,DMP,3.685796275,3.276026296,3.685796275,8.431506296,8.431506296,0.09187,0.381519,0.088173,
mol_10214,-1935.131615043585,108,10.17152,651.9847599999977,-153.22138256600002,-149.510921849,-37.195595975,-17.77732997,III_benzimid,adam,Isobutyl,adam,EP,EP,3.685796275,3.276026296,3.685796275,3.874770761,3.874770761,0.061133,0.311115,0.068353,
mol_1022,-1543.389736751145,80,7.44986,513.7348400000004,-154.426199846,-153.45418840500002,-29.770909487,-22.929178860000004,I_imid,phen,Ethyl,phen,DEP,DEP,3.620874142,1.711067804,3.620874142,10.28464853,10.28464853,0.065669,0.251149,0.073856,
mol_10220,-851.758701744411,52,11.22352,287.4628400000005,-157.745094947,-153.402732667,-32.400799706,-3.902478471,III_benzimid,Hydro,Sec-Butyl,Hydro,Isobutyl,Isobutyl,0,2.129855094,0,3.276026296,3.276026296,0.066255,0.319175,0.067277,
mol_10221,-851.746310357055,52,10.61588,287.4628400000005,-158.858295913,-154.119347945,-32.005469036,-5.087842972000001,III_benzimid,Hydro,Sec-Butyl,Hydro,Sec-Butyl,Sec-Butyl,0,2.129855094,0,2.129855094,2.129855094,0.075018,0.33602,0.072138,
mol_10222,-851.714520363476,52,10.37511,287.4628400000005,-158.887788836,-155.15473779500002,-30.979491821000003,-7.405861218,III_benzimid,Hydro,Sec-Butyl,Hydro,t-Butyl,t-Butyl,0,2.129855094,0,4.972259776,4.972259776,0.077191,0.349618,0.077026,
